Window,MMSI,Average_SOG,STD_SOG,distance_to_coast_m,far_from_coast,mean_acceleration,std_acceleration,mean_abs_acceleration,mean_turning_intensity,max_turning_intensity,turning_spike_count,avg_distance_between_pings,density,max_SOG,min_SOG,delta_SOG,Behavior_Label
2025-06-02 14:30:00,219026595,9.305454545454547,0.47235351710116946,4966.090310060366,1,-0.005456199424877914,0.02913961854245751,0.01384073643886959,1.834828280019529,29.684475909768054,2,156.6553161093467,0.006383440798571967,10.1,8.5,1.5999999999999996,1
2025-06-02 15:00:00,219026595,7.96140350877193,2.3269964075395024,1510.8562324065354,1,-0.0019674184813944827,0.03677365585709092,0.01771444937314025,2.7511146549324765,41.891510325045296,3,115.37445680387376,0.008667429004893347,9.9,1.8,8.1,1
2025-06-02 15:30:00,219026595,0.0,0.0,768.4789370625267,1,-0.0005494505494505495,0.002331121256658948,0.0005494505494505495,0.7196993871196447,2.1833808331543025,0,0.7048690106556686,1.4186831851750188,0.0,0.0,0.0,0
2025-06-02 16:00:00,219026595,0.0,0.0,768.6350109339506,1,0.0,0.0,0.0,0.7644370065044527,2.0599506848747455,0,0.8760711480297847,1.1414467737936103,0.0,0.0,0.0,0
2025-06-02 16:30:00,219026595,0.0,0.0,768.857768396081,1,0.0,0.0,0.0,0.7422148575328696,1.8424207673925785,0,0.6786743424997321,1.4734390310476255,0.0,0.0,0.0,0
2025-06-02 17:00:00,219026595,0.0,0.0,767.8804817646889,1,0.0,0.0,0.0,0.793124064120598,1.838576557940337,0,0.3637522318981787,2.7490484506371504,0.0,0.0,0.0,0
2025-06-02 17:30:00,219026595,0.0,0.0,768.8368883203838,1,0.0,0.0,0.0,0.6454007970338206,1.969592942627016,0,0.6354860746353787,1.5735738424092685,0.0,0.0,0.0,0
2025-06-02 18:00:00,219026595,0.0,0.0,769.5698825159405,1,0.0,0.0,0.0,0.5900194137952933,1.707118620423592,0,0.7646455479395835,1.3077783881835008,0.0,0.0,0.0,0
2025-06-02 18:30:00,219026595,0.0,0.0,767.7428703013385,1,0.0,0.0,0.0,0.6396112068355845,1.9037258313327752,0,1.3176612897140743,0.7589146153567581,0.0,0.0,0.0,0
2025-06-02 19:00:00,219026595,0.0,0.0,768.0268181783292,1,0.0,0.0,0.0,0.5447811165537292,1.9184676362143642,0,0.5570822708374357,1.7950347767287702,0.0,0.0,0.0,0
2025-06-02 19:30:00,219026595,0.0,0.0,768.4049067059798,1,0.0,0.0,0.0,0.6116975488641592,2.1093775273241566,0,0.5049045963211222,1.980532960001828,0.0,0.0,0.0,0
2025-06-02 20:00:00,219026595,0.0,0.0,768.3214360807449,1,0.0,0.0,0.0,0.8740001147356792,2.1172273946823648,0,0.45921753972574336,2.1775697524525923,0.0,0.0,0.0,0
2025-06-02 20:30:00,219026595,0.0,0.0,768.2016751410661,1,0.0,0.0,0.0,0.5552640441526996,2.0170428460543683,0,0.49291560856185135,2.0287036880018823,0.0,0.0,0.0,0
2025-06-02 21:00:00,219026595,0.0,0.0,768.7197467499029,1,0.0,0.0,0.0,0.6611740231073218,1.9452783098978357,0,0.9448948893324297,1.0583075728462943,0.0,0.0,0.0,0
2025-06-02 21:30:00,219026595,0.0,0.0,767.9501223681535,1,0.0,0.0,0.0,0.6198297997301022,1.8791044050401498,0,1.1043731039720703,0.905482885787874,0.0,0.0,0.0,0
2025-06-02 22:00:00,219026595,0.0,0.0,768.5190476267508,1,0.0,0.0,0.0,0.589656756392788,1.925359056275627,0,0.6656214067184179,1.5023329577100772,0.0,0.0,0.0,0
2025-06-02 22:30:00,219026595,0.0,0.0,768.3926272583174,1,0.0,0.0,0.0,0.5520971750786637,1.816425118291833,0,0.7846420114645847,1.2744503109518062,0.0,0.0,0.0,0
2025-06-02 23:00:00,219026595,0.0,0.0,768.4715785394189,1,0.0,0.0,0.0,0.6350189925682133,1.9363711881820764,0,0.36053582653142374,2.7735725292408673,0.0,0.0,0.0,0
2025-06-02 23:30:00,219026595,0.0,0.0,768.6462989586046,1,0.0,0.0,0.0,0.676670403812112,1.9253591018692076,0,0.33552029070041317,2.980356849190929,0.0,0.0,0.0,0
2025-02-18 01:30:00,219027026,2.4,0.0,89203.28154747731,1,0.0,0.0,0.0,0.02080383374332163,0.06320502614024627,0,89.37292685062711,0.01118906947940341,2.4,2.4,0.0,2
2025-02-18 02:00:00,219027026,2.3923076923076922,0.02773500981126157,87047.70394619332,1,-0.00010746238816414267,0.0008316268952923037,0.0002973959114309994,1.1832065456915026,7.424535589739605,0,94.93772268212014,0.010533219740440804,2.4,2.3,0.10000000000000009,2
2025-02-18 02:30:00,219027026,2.4,0.0,85394.27875815191,1,0.0,0.0,0.0,0.10007622100613475,0.6380888562267935,0,35.728401184687485,0.027988930009532044,2.4,2.4,0.0,2
2025-02-18 03:00:00,219027026,2.4,0.0,83550.50374594504,1,0.0,0.0,0.0,1.5658826660427307,51.04849338488742,1,28.434984604243173,0.03516793352409416,2.4,2.4,0.0,2
2025-02-18 03:30:00,219027026,2.4,0.0,81410.27322782659,1,0.0,0.0,0.0,0.878246539439894,24.126935927236588,2,16.35157619822746,0.061156146436019874,2.4,2.4,0.0,2
2025-02-18 04:00:00,219027026,2.4,0.0,79649.62013276322,1,0.0,0.0,0.0,0.6257534474532089,18.31641641962135,0,17.708543101854133,0.05646988741814809,2.4,2.4,0.0,2
2025-02-18 04:30:00,219027026,2.393706293706294,0.024370332971143355,77816.70771340252,1,5.0757323484596256e-05,0.0019290381888651064,0.0003843631116358393,0.5515071673688562,20.905123189695104,1,15.459821830656733,0.06468375665102691,2.4,2.3,0.10000000000000009,2
2025-02-18 05:00:00,219027026,2.358108108108108,0.04950573870879906,76181.73923521177,1,8.253159781173339e-07,0.0024375071742419097,0.0006315115663587656,0.6400840788071445,26.882572171377586,1,14.75096765998322,0.06779211677018686,2.4,2.3,0.10000000000000009,2
2025-02-18 05:30:00,219027026,2.302380952380952,0.015291111082241769,74676.1492819202,1,1.1123136123136133e-05,0.0014995509847085893,0.00022937710437710457,0.9919306343815361,38.51927162675872,3,12.637595554447259,0.07912891375598387,2.4,2.3,0.10000000000000009,2
2025-02-18 06:00:00,219027026,2.293125,0.051544540182656653,73300.56892054339,1,-0.0001830808080808079,0.0033374060455443532,0.00041035353535353523,0.780750597437753,23.03207366506149,2,13.19030801936625,0.07581318346773619,2.3,1.8,0.4999999999999998,2
2025-02-18 06:30:00,219027026,2.180603448275862,2.105592137379029,72638.79184680305,1,0.006142567821238216,0.017750597873170473,0.011873053742410995,1.3189750596956227,23.840646056813664,1,7.352619653570229,0.13600576217169164,8.1,0.1,8.0,2
2025-02-18 07:00:00,219027026,8.644295302013424,0.19150278748079588,76417.96408379625,1,-0.000249350909978198,0.00531295312037343,0.0020021645983370278,0.5001564060520548,45.21744755207533,1,53.32716442261297,0.018752165492120238,8.9,8.1,0.8000000000000007,1
2025-02-18 07:30:00,219027026,8.501324503311258,0.08792933144814843,75992.11124642503,1,-8.017736494557657e-05,0.003399374472705562,0.0007834255516374693,0.8720854616961341,89.74966196618357,1,52.113692697688066,0.01918881116164412,8.7,8.4,0.29999999999999893,1
2025-02-18 08:00:00,219027026,8.76046511627907,0.43320620801074705,69567.50168332779,1,0.001075316137730637,0.006843352995709557,0.0021394458065114646,0.8807157982916685,63.08391470241543,2,46.850518512635524,0.021344476396468,9.9,8.3,1.5999999999999996,1
2025-02-18 08:30:00,219027026,9.874691358024691,0.07249907122563334,61000.026662110686,1,-7.304198581001719e-05,0.0030845091337905867,0.0010149989170456985,1.8646428805539708,114.54161848261094,4,56.14023927447999,0.01781253223709101,10.0,9.7,0.3000000000000007,1
2025-02-18 09:00:00,219027026,9.763030303030304,0.08918618674097026,52283.31095855487,1,-9.700905155450579e-05,0.002615779454178704,0.0007442607897153365,1.902529158636986,115.59132522890911,5,54.40212850242496,0.018381630346303853,9.9,9.6,0.3000000000000007,1
