Window,MMSI,Average_SOG,STD_SOG,distance_to_coast_m,far_from_coast,mean_acceleration,std_acceleration,mean_abs_acceleration,mean_turning_intensity,max_turning_intensity,turning_spike_count,avg_distance_between_pings,density,max_SOG,min_SOG,delta_SOG,Behavior_Label
2025-02-18 00:00:00,219001518,0.0,0.0,495.52331036897624,0,0.0,0.0,0.0,9.50565366338971,151.22859877782201,5,0.22958590503219042,4.3554783778037995,0.0,0.0,0.0,0
2025-02-18 00:10:00,219001518,0.0,0.0,496.39323485108054,0,0.0,0.0,0.0,6.350568022592694,18.0,3,0.3008277783099323,3.324050608330744,0.0,0.0,0.0,0
2025-02-18 00:20:00,219001518,0.0,0.0,497.21587150120683,0,0.0,0.0,0.0,7.98919255278429,20.0,3,0.20827887280686166,4.801024589188025,0.0,0.0,0.0,0
2025-02-18 00:30:00,219001518,0.0,0.0,496.8116572294889,0,0.0,0.0,0.0,8.556819299311103,22.4999997914135,5,0.24959588091442342,4.006315862176527,0.0,0.0,0.0,0
2025-02-18 00:40:00,219001518,0.0,0.0,497.22341183457814,0,0.0,0.0,0.0,9.264114867830319,19.999999908478216,8,0.19842295588858247,5.039485480231857,0.0,0.0,0.0,0
2025-02-18 00:50:00,219001518,0.0,0.0,496.9583785036674,0,0.0,0.0,0.0,8.722357560233883,19.64045012043772,4,0.2294186956749594,4.358652683170631,0.0,0.0,0.0,0
2025-02-18 01:00:00,219001518,0.0,0.0,496.7924093421186,0,0.0,0.0,0.0,8.087167623255796,20.0,8,0.20679119781505742,4.835561933709403,0.0,0.0,0.0,0
2025-02-18 01:10:00,219001518,0.0,0.0,496.85061713995486,0,0.0,0.0,0.0,9.465205832846188,89.99999966812851,3,0.13278893444675804,7.530180902173741,0.0,0.0,0.0,0
2025-02-18 01:20:00,219001518,0.0,0.0,496.37651769533807,0,0.0,0.0,0.0,9.847578201759156,20.0,6,0.1762757422715082,5.672608499783495,0.0,0.0,0.0,0
2025-02-18 01:30:00,219001518,0.0,0.0,496.32681381969934,0,0.0,0.0,0.0,9.475576519339157,89.99999966812845,3,0.16490161028361677,6.063854438630422,0.0,0.0,0.0,0
2025-02-18 01:40:00,219001518,0.0,0.0,496.75398037218093,0,0.0,0.0,0.0,8.72102534865259,20.0,5,0.1508351356627087,6.62931552685935,0.0,0.0,0.0,0
2025-02-18 01:50:00,219001518,0.0,0.0,496.0804639067479,0,0.0,0.0,0.0,6.524598812002367,19.99999981672541,2,0.1353223010310774,7.389218925423888,0.0,0.0,0.0,0
2025-02-18 02:00:00,219001518,0.0,0.0,496.1384446329125,0,0.0,0.0,0.0,8.071799458102673,22.49999958378379,4,0.15561855330126523,6.425556100005655,0.0,0.0,0.0,0
2025-02-18 02:10:00,219001518,0.0,0.0,496.0273126984817,0,0.0,0.0,0.0,10.717169233457302,89.99999966812845,6,0.10659226933095359,9.38066334118494,0.0,0.0,0.0,0
2025-02-18 02:20:00,219001518,0.0,0.0,495.91640542434953,0,0.0,0.0,0.0,5.9133712402550564,20.0,2,0.1258984430651161,7.942279132804697,0.0,0.0,0.0,0
2025-02-18 02:30:00,219001518,0.0,0.0,496.2763529184088,0,0.0,0.0,0.0,7.91033851977307,19.999999814589753,3,0.12609246961499118,7.930058808944365,0.0,0.0,0.0,0
2025-02-18 02:40:00,219001518,0.0,0.0,495.48737084054557,0,0.0,0.0,0.0,9.609500796540415,90.0,4,0.19605259729515678,5.100411877613651,0.0,0.0,0.0,0
2025-02-18 02:50:00,219001518,0.0,0.0,495.66663138699784,0,0.0,0.0,0.0,7.124989956516747,18.0,2,0.1956868275771181,5.109944869218335,0.0,0.0,0.0,0
2025-02-18 03:00:00,219001518,0.0,0.0,495.395556408372,0,0.0,0.0,0.0,9.064220749412012,89.99999917032085,4,0.16594702512387435,6.025656336353196,0.0,0.0,0.0,0
2025-02-18 03:10:00,219001518,0.0,0.0,495.6190408933172,0,0.0,0.0,0.0,7.905324189306239,20.822625589710952,4,0.26917484522126484,3.714919386260467,0.0,0.0,0.0,0
2025-02-18 03:20:00,219001518,0.0,0.0,495.1948634449464,0,0.0,0.0,0.0,7.848811963464122,20.0,6,0.22826444246892522,4.380691895178449,0.0,0.0,0.0,0
2025-02-18 03:30:00,219001518,0.0,0.0,495.3630193459572,0,0.0,0.0,0.0,9.291913778787174,89.99999966812845,6,0.17030785106330443,5.871375159778853,0.0,0.0,0.0,0
2025-02-18 03:40:00,219001518,0.0,0.0,496.28081639724,0,0.0,0.0,0.0,9.024881005454482,19.999999772606518,7,0.1512195546985426,6.612464091383303,0.0,0.0,0.0,0
2025-02-18 03:50:00,219001518,0.0,0.0,496.31856382274225,0,0.0,0.0,0.0,7.256891983368533,22.5,2,0.15087385038719275,6.627614535510829,0.0,0.0,0.0,0
2025-02-18 04:00:00,219001518,0.0,0.0,496.3540528235414,0,0.0,0.0,0.0,10.259056996414587,89.99999917032125,6,0.12619479045287796,7.923629494661516,0.0,0.0,0.0,0
2025-02-18 04:10:00,219001518,0.0,0.0,496.8098024862032,0,0.0,0.0,0.0,10.690660816549217,180.0,3,0.17666610351689963,5.660075019168321,0.0,0.0,0.0,0
2025-02-18 04:20:00,219001518,0.0,0.0,496.89200795394794,0,0.0,0.0,0.0,9.764443306383644,151.2285859542776,5,0.19101764497690962,5.234844412811949,0.0,0.0,0.0,0
2025-02-18 04:30:00,219001518,0.0,0.0,497.46699191231465,0,0.0,0.0,0.0,7.616416675337938,18.20871042987705,3,0.15426526459948348,6.48192049837747,0.0,0.0,0.0,0
